episode,game,exploration,explored,safe,MA_explored,MA_safe
106,[6]_concat sin + base: 100+40sin((2pi/93)t)+0e,34.1,-23.8,6.9,-19.8,12.9
107,[7]_concat sin + base: 100+26sin((2pi/101)t)+0e,33.8,7.2,26.0,-19.6,13.2
108,[8]_concat sin + base: 100+79sin((2pi/112)t)+0e,33.4,19.3,40.1,-18.8,13.2
109,[9]_concat sin + base: 100+22sin((2pi/98)t)+0e,33.1,-1.7,25.1,-18.0,13.5
110,[10]_concat sin + base: 100+51sin((2pi/100)t)+0e,32.8,2.0,17.0,-17.7,13.7
111,[11]_concat sin + base: 100+26sin((2pi/149)t)+0e,32.4,18.2,43.5,-17.5,13.7
112,[12]_concat sin + base: 100+79sin((2pi/94)t)+0e,32.1,-23.0,4.2,-17.5,13.5
113,[13]_concat sin + base: 100+20sin((2pi/151)t)+0e,31.8,-13.5,21.0,-17.4,13.7
114,[14]_concat sin + base: 100+70sin((2pi/80)t)+0e,31.5,17.4,17.2,-17.3,13.9
115,[15]_concat sin + base: 100+31sin((2pi/136)t)+0e,31.2,15.2,32.6,-17.0,14.0
116,[16]_concat sin + base: 100+33sin((2pi/145)t)+0e,30.9,13.3,18.8,-16.6,14.3
117,[17]_concat sin + base: 100+66sin((2pi/155)t)+0e,30.5,4.2,15.3,-15.6,14.6
118,[18]_concat sin + base: 100+64sin((2pi/89)t)+0e,30.2,9.5,20.8,-14.6,14.7
119,[19]_concat sin + base: 100+47sin((2pi/119)t)+0e,29.9,-41.2,0.4,-14.6,14.7
120,[20]_concat sin + base: 100+54sin((2pi/101)t)+0e,29.6,-12.3,21.6,-14.4,14.9
121,[21]_concat sin + base: 100+35sin((2pi/148)t)+0e,29.3,27.7,38.6,-14.1,14.9
122,[22]_concat sin + base: 100+37sin((2pi/110)t)+0e,29.0,-9.4,-7.9,-13.9,14.9
123,[23]_concat sin + base: 100+70sin((2pi/151)t)+0e,28.8,-5.2,4.6,-13.7,14.9
124,[24]_concat sin + base: 100+68sin((2pi/117)t)+0e,28.5,-3.9,24.4,-13.6,14.9
125,[25]_concat sin + base: 100+33sin((2pi/117)t)+0e,28.2,10.3,23.8,-13.5,14.9
126,[26]_concat sin + base: 100+66sin((2pi/142)t)+0e,27.9,13.0,35.1,-13.3,15.2
127,[27]_concat sin + base: 100+58sin((2pi/119)t)+0e,27.6,13.7,30.3,-13.1,15.2
