episode,game,exploration,explored,safe,MA_explored,MA_safe
125,['100+9sin((2pi/37)t)+0e'],10.0,-66.6,-46.4,-30.6,-34.5
126,['100+48sin((2pi/37)t)+0e'],10.0,-71.5,-69.3,-31.3,-34.7
127,['100+47sin((2pi/39)t)+0e'],10.0,-42.2,-39.0,-32.3,-34.9
128,['100+18sin((2pi/39)t)+0e'],10.0,-91.9,-81.8,-33.0,-35.0
129,['100+38sin((2pi/36)t)+0e'],10.0,-11.0,-6.6,-32.3,-34.9
130,['100+69sin((2pi/35)t)+0e'],10.0,-29.6,-16.6,-32.3,-34.9
131,['100+25sin((2pi/35)t)+0e'],10.0,-14.6,-14.1,-32.3,-34.9
132,['100+60sin((2pi/38)t)+0e'],10.0,-158.8,-162.6,-33.0,-35.0
133,['100+15sin((2pi/38)t)+0e'],10.0,-69.1,-93.2,-33.2,-35.2
134,['100+33sin((2pi/36)t)+0e'],10.0,-38.8,-41.2,-33.4,-35.2
135,['100+31sin((2pi/36)t)+0e'],10.0,-26.4,-12.4,-33.4,-35.0
136,['100+11sin((2pi/35)t)+0e'],10.0,-75.3,-83.8,-34.0,-35.0
137,['100+7sin((2pi/36)t)+0e'],10.0,-111.6,-129.8,-34.6,-35.0
138,['100+41sin((2pi/35)t)+0e'],10.0,-59.1,-36.9,-35.0,-35.2
139,['100+55sin((2pi/37)t)+0e'],10.0,-31.0,-29.1,-35.0,-35.2
140,['100+55sin((2pi/39)t)+0e'],10.0,-37.4,-20.8,-35.0,-35.0
141,['100+9sin((2pi/36)t)+0e'],10.0,-48.3,-43.0,-35.3,-35.2
142,['100+69sin((2pi/37)t)+0e'],10.0,-17.1,-21.2,-35.0,-35.0
143,['100+37sin((2pi/38)t)+0e'],10.0,-141.0,-117.6,-35.0,-35.0
144,['100+29sin((2pi/39)t)+0e'],10.0,-5.2,-34.5,-34.6,-34.9
145,['100+55sin((2pi/36)t)+0e'],10.0,-33.8,-43.9,-34.0,-35.0
146,['100+51sin((2pi/38)t)+0e'],10.0,-35.7,-41.1,-34.3,-35.0
147,['100+20sin((2pi/39)t)+0e'],10.0,-22.1,-30.9,-34.3,-35.0
148,['100+34sin((2pi/35)t)+0e'],10.0,-3.3,-9.3,-34.3,-35.0
149,['100+64sin((2pi/39)t)+0e'],10.0,-47.6,-41.1,-34.3,-35.0
150,['100+38sin((2pi/36)t)+0e'],10.0,-21.6,-22.3,-34.3,-35.0
151,['100+39sin((2pi/35)t)+0e'],10.0,-20.3,-21.7,-33.7,-35.0
152,['100+36sin((2pi/39)t)+0e'],10.0,-24.3,-15.0,-33.4,-34.9
153,['100+39sin((2pi/37)t)+0e'],10.0,-50.6,-78.4,-33.4,-34.9
154,['100+71sin((2pi/38)t)+0e'],10.0,-54.4,-68.1,-33.4,-34.9
155,['100+19sin((2pi/35)t)+0e'],10.0,-24.5,-41.2,-33.2,-34.9
156,['100+75sin((2pi/38)t)+0e'],10.0,-77.1,-89.9,-33.4,-35.7
157,['100+44sin((2pi/35)t)+0e'],10.0,-78.2,-90.1,-33.4,-35.7
158,['100+72sin((2pi/35)t)+0e'],10.0,-107.9,-107.1,-33.4,-36.5
159,['100+30sin((2pi/37)t)+0e'],10.0,-14.6,-22.1,-33.4,-35.6
160,['100+8sin((2pi/35)t)+0e'],10.0,-23.6,-5.9,-33.2,-34.6
161,['100+58sin((2pi/39)t)+0e'],10.0,-18.8,-34.2,-33.0,-34.5
162,['100+58sin((2pi/37)t)+0e'],10.0,-35.8,-41.9,-33.2,-34.6
163,['100+72sin((2pi/37)t)+0e'],10.0,-13.3,-19.3,-33.2,-34.5
