episode,game,exploration,explored,safe,MA_explored,MA_safe
96,[96]_concat sin + base: 100+77sin((2pi/87)t)+0e,10.0,-2.3,7.5,2.1,10.0
97,[97]_concat sin + base: 100+76sin((2pi/122)t)+0e,10.0,3.4,20.6,2.3,10.2
98,[98]_concat sin + base: 100+62sin((2pi/149)t)+0e,10.0,10.2,8.8,2.5,10.0
99,[99]_concat sin + base: 100+34sin((2pi/81)t)+0e,10.0,11.1,15.9,2.6,10.2
100,[0]_concat sin + base: 100+50sin((2pi/88)t)+0e,10.0,33.3,32.6,3.1,10.7
101,[1]_concat sin + base: 100+20sin((2pi/86)t)+0e,10.0,27.7,35.8,3.5,11.5
102,[2]_concat sin + base: 100+78sin((2pi/137)t)+0e,10.0,15.0,34.3,4.5,12.1
103,[3]_concat sin + base: 100+58sin((2pi/85)t)+0e,10.0,17.4,23.0,5.3,12.4
104,[4]_concat sin + base: 100+25sin((2pi/121)t)+0e,10.0,17.4,29.3,5.5,12.8
105,[5]_concat sin + base: 100+43sin((2pi/108)t)+0e,10.0,46.0,41.2,5.7,13.0
106,[6]_concat sin + base: 100+40sin((2pi/93)t)+0e,10.0,3.0,10.9,5.7,13.0
107,[7]_concat sin + base: 100+26sin((2pi/101)t)+0e,10.0,20.6,16.0,6.0,13.4
108,[8]_concat sin + base: 100+79sin((2pi/112)t)+0e,10.0,41.4,44.7,6.0,13.9
109,[9]_concat sin + base: 100+22sin((2pi/98)t)+0e,10.0,21.7,27.5,6.2,14.4
110,[10]_concat sin + base: 100+51sin((2pi/100)t)+0e,10.0,-19.4,1.3,6.2,14.4
111,[11]_concat sin + base: 100+26sin((2pi/149)t)+0e,10.0,33.6,32.3,6.2,14.4
112,[12]_concat sin + base: 100+79sin((2pi/94)t)+0e,10.0,-15.7,-2.4,6.2,14.4
113,[13]_concat sin + base: 100+20sin((2pi/151)t)+0e,10.0,13.0,28.3,6.3,14.8
114,[14]_concat sin + base: 100+70sin((2pi/80)t)+0e,10.0,10.0,21.6,6.4,15.2
115,[15]_concat sin + base: 100+31sin((2pi/136)t)+0e,10.0,26.1,38.3,6.4,15.2
116,[16]_concat sin + base: 100+33sin((2pi/145)t)+0e,10.0,24.3,32.3,6.6,15.5
117,[17]_concat sin + base: 100+66sin((2pi/155)t)+0e,10.0,-8.0,1.3,6.6,15.5
118,[18]_concat sin + base: 100+64sin((2pi/89)t)+0e,10.0,5.0,19.4,6.6,15.5
119,[19]_concat sin + base: 100+47sin((2pi/119)t)+0e,10.0,-3.0,19.1,6.6,15.5
120,[20]_concat sin + base: 100+54sin((2pi/101)t)+0e,10.0,7.2,3.3,7.0,15.5
121,[21]_concat sin + base: 100+35sin((2pi/148)t)+0e,10.0,33.7,42.6,7.0,15.5
122,[22]_concat sin + base: 100+37sin((2pi/110)t)+0e,10.0,8.0,13.2,7.2,15.5
123,[23]_concat sin + base: 100+70sin((2pi/151)t)+0e,10.0,1.4,11.4,7.2,15.5
124,[24]_concat sin + base: 100+68sin((2pi/117)t)+0e,10.0,28.9,35.1,7.4,15.5
125,[25]_concat sin + base: 100+33sin((2pi/117)t)+0e,10.0,33.1,36.2,7.4,15.5
126,[26]_concat sin + base: 100+66sin((2pi/142)t)+0e,10.0,28.8,33.6,7.4,15.5
127,[27]_concat sin + base: 100+58sin((2pi/119)t)+0e,10.0,13.1,33.7,7.4,15.7
128,[28]_concat sin + base: 100+35sin((2pi/132)t)+0e,10.0,20.4,25.0,7.4,15.7
129,[29]_concat sin + base: 100+21sin((2pi/132)t)+0e,10.0,5.2,14.0,7.4,15.7
130,[30]_concat sin + base: 100+36sin((2pi/118)t)+0e,10.0,31.5,36.8,7.4,15.7
131,[31]_concat sin + base: 100+44sin((2pi/153)t)+0e,10.0,19.4,31.0,7.4,15.7
132,[32]_concat sin + base: 100+23sin((2pi/111)t)+0e,10.0,-3.5,-1.3,7.4,15.7
133,[33]_concat sin + base: 100+62sin((2pi/152)t)+0e,10.0,22.7,23.5,7.4,15.9
134,[34]_concat sin + base: 100+21sin((2pi/147)t)+0e,10.0,-2.1,18.8,7.4,16.1
135,[35]_concat sin + base: 100+75sin((2pi/148)t)+0e,10.0,-1.8,16.3,7.4,16.3
136,[36]_concat sin + base: 100+32sin((2pi/114)t)+0e,10.0,22.1,37.2,7.4,16.3
137,[37]_concat sin + base: 100+65sin((2pi/113)t)+0e,10.0,21.8,21.2,7.4,16.3
138,[38]_concat sin + base: 100+75sin((2pi/109)t)+0e,10.0,-2.7,-1.1,7.4,16.3
139,[39]_concat sin + base: 100+69sin((2pi/133)t)+0e,10.0,17.6,14.8,7.4,16.3
140,[40]_concat sin + base: 100+20sin((2pi/94)t)+0e,10.0,15.7,22.8,7.8,16.3
141,[41]_concat sin + base: 100+48sin((2pi/81)t)+0e,10.0,19.7,33.6,8.5,17.0
142,[42]_concat sin + base: 100+45sin((2pi/152)t)+0e,10.0,23.6,32.0,8.5,17.0
143,[43]_concat sin + base: 100+20sin((2pi/132)t)+0e,10.0,35.9,32.8,8.5,17.0
144,[44]_concat sin + base: 100+20sin((2pi/144)t)+0e,10.0,12.2,32.6,8.5,17.0
145,[45]_concat sin + base: 100+72sin((2pi/116)t)+0e,10.0,16.7,24.6,9.0,17.9
146,[46]_concat sin + base: 100+57sin((2pi/150)t)+0e,10.0,34.4,32.5,9.5,17.9
147,[47]_concat sin + base: 100+61sin((2pi/141)t)+0e,10.0,24.2,19.8,10.1,18.1
148,[48]_concat sin + base: 100+25sin((2pi/124)t)+0e,10.0,29.3,33.3,10.1,18.5
149,[49]_concat sin + base: 100+36sin((2pi/111)t)+0e,10.0,-0.2,11.1,10.1,18.5
150,[50]_concat sin + base: 100+48sin((2pi/100)t)+0e,10.0,-4.2,3.0,10.1,18.5
151,[51]_concat sin + base: 100+74sin((2pi/143)t)+0e,10.0,17.2,16.6,10.5,18.5
152,[52]_concat sin + base: 100+46sin((2pi/146)t)+0e,10.0,7.2,16.7,10.5,18.1
153,[53]_concat sin + base: 100+57sin((2pi/122)t)+0e,10.0,20.6,27.0,10.5,18.1
154,[54]_concat sin + base: 100+21sin((2pi/140)t)+0e,10.0,22.5,19.5,10.9,18.5
155,[55]_concat sin + base: 100+30sin((2pi/140)t)+0e,10.0,41.1,41.1,10.9,18.5
156,[56]_concat sin + base: 100+49sin((2pi/153)t)+0e,10.0,30.0,25.0,10.9,18.5
157,[57]_concat sin + base: 100+44sin((2pi/103)t)+0e,10.0,22.5,39.0,10.9,19.0
158,[58]_concat sin + base: 100+67sin((2pi/132)t)+0e,10.0,-0.4,3.5,10.9,19.0
159,[59]_concat sin + base: 100+59sin((2pi/130)t)+0e,10.0,5.6,27.9,10.9,19.0
160,[60]_concat sin + base: 100+52sin((2pi/106)t)+0e,10.0,14.3,10.9,11.1,19.0
161,[61]_concat sin + base: 100+66sin((2pi/93)t)+0e,10.0,-34.1,-13.0,11.1,19.0
162,[62]_concat sin + base: 100+39sin((2pi/88)t)+0e,10.0,6.8,11.8,11.1,19.0
163,[63]_concat sin + base: 100+40sin((2pi/124)t)+0e,10.0,18.3,23.0,11.5,19.2
164,[64]_concat sin + base: 100+55sin((2pi/118)t)+0e,10.0,-0.5,9.8,11.1,19.0
165,[65]_concat sin + base: 100+67sin((2pi/140)t)+0e,10.0,-2.1,-2.2,11.1,19.0
166,[66]_concat sin + base: 100+66sin((2pi/131)t)+0e,10.0,-8.9,18.1,11.1,19.0
167,[67]_concat sin + base: 100+27sin((2pi/104)t)+0e,10.0,-2.6,-2.4,11.1,19.0
168,[68]_concat sin + base: 100+51sin((2pi/105)t)+0e,10.0,2.4,14.6,11.1,19.0
169,[69]_concat sin + base: 100+73sin((2pi/87)t)+0e,10.0,15.1,26.1,11.5,19.2
170,[70]_concat sin + base: 100+24sin((2pi/103)t)+0e,10.0,21.6,21.7,12.1,19.3
171,[71]_concat sin + base: 100+22sin((2pi/123)t)+0e,10.0,7.5,22.3,11.7,19.5
172,[72]_concat sin + base: 100+44sin((2pi/110)t)+0e,10.0,21.7,28.0,12.6,19.5
173,[73]_concat sin + base: 100+59sin((2pi/123)t)+0e,10.0,14.9,30.5,12.6,19.5
174,[74]_concat sin + base: 100+57sin((2pi/149)t)+0e,10.0,18.5,21.5,13.0,19.7
175,[75]_concat sin + base: 100+58sin((2pi/119)t)+0e,10.0,1.0,9.1,13.0,19.7
176,[76]_concat sin + base: 100+43sin((2pi/122)t)+0e,10.0,10.8,17.3,13.0,19.7
177,[77]_concat sin + base: 100+78sin((2pi/126)t)+0e,10.0,0.3,5.1,13.0,19.7
178,[78]_concat sin + base: 100+55sin((2pi/87)t)+0e,10.0,17.1,33.0,13.6,19.7
179,[79]_concat sin + base: 100+35sin((2pi/115)t)+0e,10.0,14.7,22.9,14.2,20.2
180,[80]_concat sin + base: 100+48sin((2pi/121)t)+0e,10.0,23.6,31.5,14.2,20.2
181,[81]_concat sin + base: 100+40sin((2pi/134)t)+0e,10.0,3.7,17.3,14.2,20.2
182,[82]_concat sin + base: 100+51sin((2pi/153)t)+0e,10.0,12.3,20.7,14.2,20.6
183,[83]_concat sin + base: 100+54sin((2pi/144)t)+0e,10.0,-0.6,13.6,14.2,20.6
184,[84]_concat sin + base: 100+23sin((2pi/107)t)+0e,10.0,-21.9,17.1,14.2,20.6
185,[85]_concat sin + base: 100+76sin((2pi/93)t)+0e,10.0,33.0,34.0,14.2,20.6
186,[86]_concat sin + base: 100+55sin((2pi/80)t)+0e,10.0,7.3,19.7,14.2,20.6
187,[87]_concat sin + base: 100+75sin((2pi/144)t)+0e,10.0,18.5,27.9,14.4,20.9
188,[88]_concat sin + base: 100+76sin((2pi/130)t)+0e,10.0,-9.7,5.1,14.4,20.9
189,[89]_concat sin + base: 100+68sin((2pi/92)t)+0e,10.0,16.5,17.5,14.5,20.9
190,[90]_concat sin + base: 100+28sin((2pi/112)t)+0e,10.0,5.1,11.9,14.5,20.9
191,[91]_concat sin + base: 100+49sin((2pi/80)t)+0e,10.0,12.7,23.4,14.5,21.3
192,[92]_concat sin + base: 100+79sin((2pi/144)t)+0e,10.0,32.7,35.7,14.8,21.3
193,[93]_concat sin + base: 100+29sin((2pi/86)t)+0e,10.0,22.2,23.8,15.0,21.6
194,[94]_concat sin + base: 100+46sin((2pi/102)t)+0e,10.0,-13.2,9.4,15.0,21.6
195,[95]_concat sin + base: 100+29sin((2pi/151)t)+0e,10.0,11.2,27.0,14.8,21.7
196,[96]_concat sin + base: 100+77sin((2pi/87)t)+0e,10.0,32.2,41.7,15.0,22.0
197,[97]_concat sin + base: 100+76sin((2pi/122)t)+0e,10.0,12.4,17.9,15.0,22.0
198,[98]_concat sin + base: 100+62sin((2pi/149)t)+0e,10.0,16.1,19.4,15.0,22.0
199,[99]_concat sin + base: 100+34sin((2pi/81)t)+0e,10.0,22.4,19.1,15.4,22.0
