episode,game,exploration,explored,safe,MA_explored,MA_safe
104,[4]_concat sin + base: 100+25sin((2pi/121)t)+0e,10.0,24.6,13.9,1.9,6.7
105,[5]_concat sin + base: 100+43sin((2pi/108)t)+0e,10.0,10.0,25.1,1.9,6.7
106,[6]_concat sin + base: 100+40sin((2pi/93)t)+0e,10.0,17.5,18.3,2.1,6.8
107,[7]_concat sin + base: 100+26sin((2pi/101)t)+0e,10.0,7.8,11.8,2.2,7.0
108,[8]_concat sin + base: 100+79sin((2pi/112)t)+0e,10.0,26.5,36.1,2.3,7.0
109,[9]_concat sin + base: 100+22sin((2pi/98)t)+0e,10.0,22.1,40.8,2.7,7.2
110,[10]_concat sin + base: 100+51sin((2pi/100)t)+0e,10.0,9.7,13.2,3.1,7.3
111,[11]_concat sin + base: 100+26sin((2pi/149)t)+0e,10.0,16.0,19.4,3.2,7.5
112,[12]_concat sin + base: 100+79sin((2pi/94)t)+0e,10.0,-11.4,14.0,3.1,7.7
113,[13]_concat sin + base: 100+20sin((2pi/151)t)+0e,10.0,11.7,20.7,3.2,7.8
114,[14]_concat sin + base: 100+70sin((2pi/80)t)+0e,10.0,9.6,17.8,3.3,8.0
115,[15]_concat sin + base: 100+31sin((2pi/136)t)+0e,10.0,22.6,29.3,3.5,8.3
116,[16]_concat sin + base: 100+33sin((2pi/145)t)+0e,10.0,15.7,11.1,3.9,8.6
117,[17]_concat sin + base: 100+66sin((2pi/155)t)+0e,10.0,-4.4,13.0,3.9,8.9
118,[18]_concat sin + base: 100+64sin((2pi/89)t)+0e,10.0,-0.2,6.1,3.9,8.9
119,[19]_concat sin + base: 100+47sin((2pi/119)t)+0e,10.0,4.8,-10.0,4.2,8.9
120,[20]_concat sin + base: 100+54sin((2pi/101)t)+0e,10.0,4.3,16.0,4.3,9.4
121,[21]_concat sin + base: 100+35sin((2pi/148)t)+0e,10.0,9.9,17.9,4.6,9.7
122,[22]_concat sin + base: 100+37sin((2pi/110)t)+0e,10.0,15.7,8.3,4.9,9.7
123,[23]_concat sin + base: 100+70sin((2pi/151)t)+0e,10.0,-5.8,9.9,4.9,9.9
124,[24]_concat sin + base: 100+68sin((2pi/117)t)+0e,10.0,34.1,42.4,5.0,10.1
125,[25]_concat sin + base: 100+33sin((2pi/117)t)+0e,10.0,-15.6,-8.2,5.0,10.1
126,[26]_concat sin + base: 100+66sin((2pi/142)t)+0e,10.0,21.8,16.6,5.0,10.5
127,[27]_concat sin + base: 100+58sin((2pi/119)t)+0e,10.0,14.2,20.3,5.0,10.5
128,[28]_concat sin + base: 100+35sin((2pi/132)t)+0e,10.0,25.8,28.8,5.1,10.7
129,[29]_concat sin + base: 100+21sin((2pi/132)t)+0e,10.0,14.8,20.1,5.5,10.9
130,[30]_concat sin + base: 100+36sin((2pi/118)t)+0e,10.0,8.5,16.4,6.1,11.1
131,[31]_concat sin + base: 100+44sin((2pi/153)t)+0e,10.0,20.7,33.1,6.5,11.4
132,[32]_concat sin + base: 100+23sin((2pi/111)t)+0e,10.0,-15.6,-0.8,6.5,11.4
133,[33]_concat sin + base: 100+62sin((2pi/152)t)+0e,10.0,18.0,26.4,6.9,11.7
134,[34]_concat sin + base: 100+21sin((2pi/147)t)+0e,10.0,40.8,30.7,7.0,11.8
135,[35]_concat sin + base: 100+75sin((2pi/148)t)+0e,10.0,-4.7,11.4,7.0,11.8
136,[36]_concat sin + base: 100+32sin((2pi/114)t)+0e,10.0,16.2,22.4,7.2,11.8
137,[37]_concat sin + base: 100+65sin((2pi/113)t)+0e,10.0,11.8,16.3,7.4,11.8
138,[38]_concat sin + base: 100+75sin((2pi/109)t)+0e,10.0,2.1,18.4,7.4,11.9
139,[39]_concat sin + base: 100+69sin((2pi/133)t)+0e,10.0,12.2,16.7,7.4,12.0
140,[40]_concat sin + base: 100+20sin((2pi/94)t)+0e,10.0,15.7,18.8,7.6,12.0
141,[41]_concat sin + base: 100+48sin((2pi/81)t)+0e,10.0,29.8,23.3,7.6,12.1
142,[42]_concat sin + base: 100+45sin((2pi/152)t)+0e,10.0,3.2,28.4,7.4,12.6
143,[43]_concat sin + base: 100+20sin((2pi/132)t)+0e,10.0,10.9,32.9,7.6,13.1
144,[44]_concat sin + base: 100+20sin((2pi/144)t)+0e,10.0,35.7,40.8,8.1,13.1
145,[45]_concat sin + base: 100+72sin((2pi/116)t)+0e,10.0,10.8,17.5,8.4,13.2
146,[46]_concat sin + base: 100+57sin((2pi/150)t)+0e,10.0,26.0,27.6,8.8,13.2
147,[47]_concat sin + base: 100+61sin((2pi/141)t)+0e,10.0,-3.4,12.2,8.8,13.2
148,[48]_concat sin + base: 100+25sin((2pi/124)t)+0e,10.0,11.4,31.9,9.4,13.6
149,[49]_concat sin + base: 100+36sin((2pi/111)t)+0e,10.0,22.3,12.4,9.4,13.6
150,[50]_concat sin + base: 100+48sin((2pi/100)t)+0e,10.0,4.4,14.9,8.8,13.6
151,[51]_concat sin + base: 100+74sin((2pi/143)t)+0e,10.0,18.6,7.4,9.4,13.6
152,[52]_concat sin + base: 100+46sin((2pi/146)t)+0e,10.0,10.4,16.6,9.7,14.0
153,[53]_concat sin + base: 100+57sin((2pi/122)t)+0e,10.0,9.7,15.7,9.7,14.1
154,[54]_concat sin + base: 100+21sin((2pi/140)t)+0e,10.0,22.0,21.6,9.8,14.5
155,[55]_concat sin + base: 100+30sin((2pi/140)t)+0e,10.0,32.0,37.3,10.0,15.3
156,[56]_concat sin + base: 100+49sin((2pi/153)t)+0e,10.0,20.9,39.9,10.0,15.3
157,[57]_concat sin + base: 100+44sin((2pi/103)t)+0e,10.0,18.7,21.4,10.2,15.8
158,[58]_concat sin + base: 100+67sin((2pi/132)t)+0e,10.0,-8.9,7.2,10.0,15.3
159,[59]_concat sin + base: 100+59sin((2pi/130)t)+0e,10.0,18.9,23.2,10.2,15.3
160,[60]_concat sin + base: 100+52sin((2pi/106)t)+0e,10.0,-1.1,4.7,10.2,15.3
161,[61]_concat sin + base: 100+66sin((2pi/93)t)+0e,10.0,5.4,3.0,10.2,15.3
162,[62]_concat sin + base: 100+39sin((2pi/88)t)+0e,10.0,15.6,21.3,10.4,15.8
163,[63]_concat sin + base: 100+40sin((2pi/124)t)+0e,10.0,30.5,25.6,10.6,15.9
164,[64]_concat sin + base: 100+55sin((2pi/118)t)+0e,10.0,-0.7,15.3,10.6,15.9
165,[65]_concat sin + base: 100+67sin((2pi/140)t)+0e,10.0,-2.3,17.0,10.6,16.1
166,[66]_concat sin + base: 100+66sin((2pi/131)t)+0e,10.0,-9.9,-11.5,10.6,16.1
167,[67]_concat sin + base: 100+27sin((2pi/104)t)+0e,10.0,-1.2,14.9,10.6,16.1
168,[68]_concat sin + base: 100+51sin((2pi/105)t)+0e,10.0,11.3,7.9,10.9,16.1
169,[69]_concat sin + base: 100+73sin((2pi/87)t)+0e,10.0,7.5,10.5,10.9,16.1
170,[70]_concat sin + base: 100+24sin((2pi/103)t)+0e,10.0,5.2,19.7,10.9,16.2
171,[71]_concat sin + base: 100+22sin((2pi/123)t)+0e,10.0,28.0,27.5,10.9,16.2
172,[72]_concat sin + base: 100+44sin((2pi/110)t)+0e,10.0,19.1,25.1,11.1,16.3
173,[73]_concat sin + base: 100+59sin((2pi/123)t)+0e,10.0,31.7,34.1,11.1,16.3
174,[74]_concat sin + base: 100+57sin((2pi/149)t)+0e,10.0,10.8,23.8,10.9,16.4
175,[75]_concat sin + base: 100+58sin((2pi/119)t)+0e,10.0,4.2,-2.1,10.9,16.4
176,[76]_concat sin + base: 100+43sin((2pi/122)t)+0e,10.0,25.9,31.1,10.9,16.5
177,[77]_concat sin + base: 100+78sin((2pi/126)t)+0e,10.0,1.0,13.6,10.9,16.5
178,[78]_concat sin + base: 100+55sin((2pi/87)t)+0e,10.0,33.4,33.7,11.1,16.5
179,[79]_concat sin + base: 100+35sin((2pi/115)t)+0e,10.0,9.7,20.0,11.1,16.6
180,[80]_concat sin + base: 100+48sin((2pi/121)t)+0e,10.0,13.9,20.4,11.1,16.7
181,[81]_concat sin + base: 100+40sin((2pi/134)t)+0e,10.0,13.4,15.7,11.1,16.7
182,[82]_concat sin + base: 100+51sin((2pi/153)t)+0e,10.0,24.1,22.2,11.3,16.9
183,[83]_concat sin + base: 100+54sin((2pi/144)t)+0e,10.0,13.8,25.0,11.6,17.3
184,[84]_concat sin + base: 100+23sin((2pi/107)t)+0e,10.0,-6.4,6.5,11.6,17.3
185,[85]_concat sin + base: 100+76sin((2pi/93)t)+0e,10.0,9.5,26.6,11.3,17.7
186,[86]_concat sin + base: 100+55sin((2pi/80)t)+0e,10.0,15.0,16.2,11.6,17.3
187,[87]_concat sin + base: 100+75sin((2pi/144)t)+0e,10.0,18.4,33.0,11.6,17.3
188,[88]_concat sin + base: 100+76sin((2pi/130)t)+0e,10.0,-1.9,10.4,11.6,17.3
189,[89]_concat sin + base: 100+68sin((2pi/92)t)+0e,10.0,3.1,11.5,11.6,17.3
190,[90]_concat sin + base: 100+28sin((2pi/112)t)+0e,10.0,27.0,12.1,11.7,17.3
191,[91]_concat sin + base: 100+49sin((2pi/80)t)+0e,10.0,16.5,22.2,12.0,17.7
192,[92]_concat sin + base: 100+79sin((2pi/144)t)+0e,10.0,19.8,16.3,12.5,17.7
193,[93]_concat sin + base: 100+29sin((2pi/86)t)+0e,10.0,21.4,21.6,13.1,17.9
194,[94]_concat sin + base: 100+46sin((2pi/102)t)+0e,10.0,-28.0,1.4,13.1,17.9
195,[95]_concat sin + base: 100+29sin((2pi/151)t)+0e,10.0,14.4,27.5,13.1,17.9
196,[96]_concat sin + base: 100+77sin((2pi/87)t)+0e,10.0,16.4,9.6,13.6,17.9
197,[97]_concat sin + base: 100+76sin((2pi/122)t)+0e,10.0,-1.0,21.2,13.6,18.1
198,[98]_concat sin + base: 100+62sin((2pi/149)t)+0e,10.0,24.7,44.6,13.6,18.1
199,[99]_concat sin + base: 100+34sin((2pi/81)t)+0e,10.0,-12.0,5.8,13.6,18.1
