episode,game,exploration,explored,safe,MA_explored,MA_safe
91,[91]_concat sin + base: 100+49sin((2pi/80)t)+0e,10.0,18.1,24.5,3.9,13.7
92,[92]_concat sin + base: 100+79sin((2pi/144)t)+0e,10.0,-12.3,16.9,3.7,13.8
93,[93]_concat sin + base: 100+29sin((2pi/86)t)+0e,10.0,6.6,-0.4,3.9,13.7
94,[94]_concat sin + base: 100+46sin((2pi/102)t)+0e,10.0,-6.2,2.4,3.7,13.6
95,[95]_concat sin + base: 100+29sin((2pi/151)t)+0e,10.0,22.8,21.4,3.9,13.7
96,[96]_concat sin + base: 100+77sin((2pi/87)t)+0e,10.0,2.3,15.2,3.7,13.8
97,[97]_concat sin + base: 100+76sin((2pi/122)t)+0e,10.0,-2.4,10.1,3.5,13.7
98,[98]_concat sin + base: 100+62sin((2pi/149)t)+0e,10.0,22.0,33.8,3.7,13.8
99,[99]_concat sin + base: 100+34sin((2pi/81)t)+0e,10.0,1.3,0.1,3.5,13.7
100,[0]_concat sin + base: 100+50sin((2pi/88)t)+0e,10.0,22.1,39.7,3.9,13.9
101,[1]_concat sin + base: 100+20sin((2pi/86)t)+0e,10.0,2.6,20.4,3.9,14.3
102,[2]_concat sin + base: 100+78sin((2pi/137)t)+0e,10.0,28.4,30.3,4.0,14.7
103,[3]_concat sin + base: 100+58sin((2pi/85)t)+0e,10.0,43.9,45.3,4.2,14.9
104,[4]_concat sin + base: 100+25sin((2pi/121)t)+0e,10.0,15.8,17.8,4.4,15.1
105,[5]_concat sin + base: 100+43sin((2pi/108)t)+0e,10.0,36.8,40.3,5.1,15.8
106,[6]_concat sin + base: 100+40sin((2pi/93)t)+0e,10.0,7.2,17.9,6.0,16.6
107,[7]_concat sin + base: 100+26sin((2pi/101)t)+0e,10.0,8.1,28.2,6.4,16.9
108,[8]_concat sin + base: 100+79sin((2pi/112)t)+0e,10.0,34.6,38.2,6.4,16.9
109,[9]_concat sin + base: 100+22sin((2pi/98)t)+0e,10.0,30.2,26.8,6.7,17.4
110,[10]_concat sin + base: 100+51sin((2pi/100)t)+0e,10.0,-7.5,21.6,6.7,17.8
111,[11]_concat sin + base: 100+26sin((2pi/149)t)+0e,10.0,36.8,37.3,6.9,18.2
112,[12]_concat sin + base: 100+79sin((2pi/94)t)+0e,10.0,-1.3,7.0,6.9,18.2
113,[13]_concat sin + base: 100+20sin((2pi/151)t)+0e,10.0,24.8,35.8,7.1,18.6
114,[14]_concat sin + base: 100+70sin((2pi/80)t)+0e,10.0,21.6,21.6,7.2,18.9
115,[15]_concat sin + base: 100+31sin((2pi/136)t)+0e,10.0,38.3,36.8,7.4,18.9
116,[16]_concat sin + base: 100+33sin((2pi/145)t)+0e,10.0,10.3,31.3,7.6,19.2
117,[17]_concat sin + base: 100+66sin((2pi/155)t)+0e,10.0,3.3,9.2,7.6,19.2
118,[18]_concat sin + base: 100+64sin((2pi/89)t)+0e,10.0,28.4,26.6,7.7,19.4
119,[19]_concat sin + base: 100+47sin((2pi/119)t)+0e,10.0,17.5,18.9,7.9,19.4
120,[20]_concat sin + base: 100+54sin((2pi/101)t)+0e,10.0,13.6,22.9,8.4,19.7
121,[21]_concat sin + base: 100+35sin((2pi/148)t)+0e,10.0,21.7,36.8,8.4,19.7
122,[22]_concat sin + base: 100+37sin((2pi/110)t)+0e,10.0,1.1,7.3,7.9,19.7
123,[23]_concat sin + base: 100+70sin((2pi/151)t)+0e,10.0,18.8,21.5,8.4,20.0
124,[24]_concat sin + base: 100+68sin((2pi/117)t)+0e,10.0,29.0,37.7,9.2,20.0
125,[25]_concat sin + base: 100+33sin((2pi/117)t)+0e,10.0,34.2,35.9,9.2,20.0
126,[26]_concat sin + base: 100+66sin((2pi/142)t)+0e,10.0,25.2,35.8,9.2,20.0
127,[27]_concat sin + base: 100+58sin((2pi/119)t)+0e,10.0,37.2,37.7,9.2,20.2
128,[28]_concat sin + base: 100+35sin((2pi/132)t)+0e,10.0,28.8,31.6,9.2,20.2
129,[29]_concat sin + base: 100+21sin((2pi/132)t)+0e,10.0,17.5,13.6,9.9,20.2
130,[30]_concat sin + base: 100+36sin((2pi/118)t)+0e,10.0,18.2,30.3,9.9,20.2
131,[31]_concat sin + base: 100+44sin((2pi/153)t)+0e,10.0,15.1,18.1,10.0,20.2
